item_id,part
0001be62-bf9c-4c15-8a09-dce209be9715,train
000ad3b9-75cf-4b8f-9786-de63f9a8ffa8,train
0012e069-5caf-44fd-85e4-9a38f6eefd2e,train
002b097b-4237-4610-952c-6095d48fb7a0,train
003fb77f-53a7-44bd-ac96-25b2cbc47f43,train
0064bdc6-8e3a-4bc8-81e5-d755a4759d63,train
0071e389-0a9c-45b1-96a0-acec9d7d584b,train
0074bfd6-ccc1-4610-87db-9bffe8a1c0b4,train
00811de2-8795-43b1-813d-3f5f458a926b,train
0082fb0a-8030-4d6e-93ca-9f94d7b429bf,train
008468e2-e677-45fc-ac2f-4cf175ce334a,train
00882625-c1d0-4c07-aa26-0a97076360ee,train
00b7548a-8c67-450c-80a1-1d91d7c2f939,train
00bb0c85-b371-4ffd-a98b-012b488eac86,train
00cad534-0fca-42fe-a24a-4eda8d0e0fc0,train
00d1ed0c-78fc-4104-a984-abfaba5c864f,train
00d4f18c-90f1-4cec-aef5-5e79e9443e06,train
00e23fdc-934a-4319-a6b1-3bd181294a56,train
00ff0d81-5583-4aec-9e22-ccd929e79804,train
010e233c-c9d9-471c-a6ac-ebc1c5bd78a7,train
0116c581-a65b-4165-9e04-5f26ad93c934,train
0119d416-3c24-4f1a-a39d-cbbe72a0ecc1,train
011e3c36-e960-4908-964e-6fc8be49381d,train
011e51e3-640a-439e-8254-3a1de0cdb925,train
012c8594-7ce3-4991-ae02-0e21a10ea83f,train
012e849b-a084-4427-8135-3883263c1a05,train
012fd615-aab8-4e37-81bd-4c6af0f41d18,train
01353ea3-fa65-4f7b-bb36-f5e595a8ae58,train
013c5c50-529d-4be7-9872-7fea9ab88417,train
014159e8-daee-4fc1-a6ae-a6608b696ed5,train
01795852-cbdb-48ab-a8b9-1c39fe05c790,train
017f5f8b-f3b4-4fe1-82e3-f071f1c3789f,train
018f14e8-5249-4711-bad8-4f4559d9c0dd,train
018fa4b0-1945-4e0c-8539-bd29eca15b55,train
019ae6f2-a651-4eb2-9c45-a6e1abf8071d,train
01a030f9-7d94-42af-939b-d1a3e4171ef9,train
01b328f0-d0ef-4d27-b0a8-3e3c98b4b8cc,train
01cd98aa-5e0d-4751-b4ca-d8ba2b364e05,train
01e441c1-7348-4b97-b339-b3c61b2a1c11,train
01ea2dd3-6517-484e-8532-da99239c815e,train
01f258ad-74be-410f-a8c5-7141ed793915,train
02035bb9-689d-4e0c-8661-6917330bd721,train
02115e45-7e16-4a77-91ee-dd8f55a6b749,train
021d5fae-8d22-4d10-b8cb-9cc5ece3f63a,train
023808be-07f4-4c58-8193-b04ac05b443e,train
023dc1a9-79f8-4228-8240-7e0524355af5,train
023dc7e8-59f9-4340-81a2-3cc95bea6e19,train
0241fe97-a971-41b5-8305-563cf9b6adf3,train
0252d1ae-e62e-40ec-b0d2-a446724b3071,train
02552ae8-6610-4a8b-bfe9-714938c59103,train
0258ec2d-407d-42a0-a368-cc83c4f75d5d,train
026328ab-2e2a-4688-86da-1c4827fbfcc6,train
0270a95a-333d-47f2-b56a-618aec18707d,train
027f95e4-c225-4042-b992-c7def20cf6c2,train
02843e58-f55a-4b76-b9e3-794cbc0a1280,train
028fc10c-947b-4e8e-ad1e-8fe21793c351,train
028fc505-558d-4b19-9966-bb492fd0252a,train
02953967-b031-4aac-8984-b7885377e499,train
02beca9d-b4be-4ad7-838a-3e6add5050ef,train
02d5d9bc-63b8-4a24-a959-a5a39eb110af,train
02e25a19-6d18-4e32-a710-2ff1a8724fb1,train
02e56c83-1823-4a45-b005-5a08dccb0a6b,train
02eb93af-ea71-4785-bcac-ee1ded3a640a,train
02edc95e-9931-4bd0-bb42-200c7a53f477,train
037063ac-326d-402f-82a2-562670364363,train
03779ef5-df04-49b3-91b4-d4b593ca674a,train
037aa509-cd32-4f15-95a4-86301ba669cb,train
037dc047-d569-4469-999b-cea4f90b1df4,train
038adbf3-85ad-4c04-b82f-78847434f8c3,train
039c86af-e72d-48fd-b977-dd3f3a1dc744,train
03a00707-3b1c-4f38-b196-a7f2fabefab6,train
03b4f314-6c46-4bf4-ac3d-8d199a79bb71,train
03d04cd4-342b-401c-8abf-c5cb949bb6ce,train
03d3525f-1f9e-4fd2-83a2-56a086f86e19,train
03dc4ed3-b6c8-405a-9223-cee16d8411cf,train
03ed98af-9073-4ca5-a033-78c59df25e0e,train
041a332f-fa1a-4eec-8881-a0aa0abf4757,train
044e4d74-7c63-470a-b6c1-f6932787cd16,train
0466296e-700c-42f5-be94-b3b1ff0d3cc3,train
04995455-a4d6-43ac-a942-339902609601,train
049bd00c-3fd7-454a-a23c-a0880b477a0b,train
049d897e-82f3-445a-a45f-97f2b18e2d9f,train
04d2ef23-6d5a-46de-8974-e7f6a35b4403,train
04defb74-bdeb-4916-9d3d-af0cebd5db4a,train
04eaa108-05d8-41bf-bffd-d23c82b93084,train
04fd1fd6-f1e9-47fb-a098-5932ab219f0e,train
050a33fa-4e7a-4d5e-96d4-237e129b8d30,train
050b3fa4-abc0-4170-ae7f-4882cd9e3f2a,train
052fbb1c-99ea-4120-a1c8-c0b2d873e913,train
0534b50b-a6d4-4f66-86e6-b7897c17755e,train
053e54ea-7c33-46d4-ad24-ee2fb6a8e7bd,train
05406c12-5963-497f-90dd-f431177fb0b3,train
05433e0a-3082-4489-9c4f-462733e7f405,train
056efee0-4f54-467d-acb7-fc5fc9ef5c2e,train
0571eb22-c1b5-4c9e-90c6-ac42a7a222ba,train
058a0004-65e1-4c36-9051-bcb658ffdf27,train
059c771d-79ad-470f-84d1-4aea22ceea54,train
05b06276-054e-447f-b88a-0ee7966dbef5,train
05beb22d-fa5b-49c5-bc15-7fbf01e79b66,train
05cda9ff-8c97-4b11-97aa-387fcfb1f61b,train
05f8f0b3-4883-414f-a002-2b77d41885e8,train
05ff717c-4744-47c5-b46d-1f4ea8f452b5,train
060814ef-21b4-4edd-9f15-a0cb6b0754be,train
0629512f-57ec-42bf-ab37-b7e6495e337e,train
062ea5e9-2ef9-417a-af25-7fb888da7e65,train
063999ea-6b89-495e-aa3a-fb22116fb22a,train
0639f733-378a-489b-9000-575586e9e9ab,train
06520911-0888-4c2d-ac62-eead59dd5535,train
06814f15-d2d7-4859-b708-80239be8cf2f,train
0696c57e-cdf0-4af9-9b5d-32a51a148181,train
06a1f3cf-2270-4106-a35d-864c8c120f00,train
06adfe53-96dd-47aa-a7c2-7ae0d344ecf6,train
06b3df63-a0da-4911-aa4a-13e822e2d205,train
06b65a92-656d-4348-84e0-b8c7921c308c,train
06b8daed-72bd-465d-aa44-0aa34ed5f351,train
06e8a61a-713d-4872-9757-149b4c335052,train
06f1e5a3-e986-4644-8f80-9ac7933bf5d8,train
06f9cd53-93ee-4221-a1f1-4a5b11234d5f,train
07077603-ef3c-47a5-a1df-7b16c4896b1f,train
0731dbf3-5c56-47cc-964f-1af394d7a1b8,train
07494198-8dda-4113-ab7f-d8c57cb7d262,train
0767dd3b-8310-41b3-95e7-10ea9186c1bd,train
07776ffc-7681-4b50-8928-e924bcbdaf2a,train
07866ae4-7a01-4705-b494-0337dc11ff64,train
