item_id,split,group_id
0001be62-bf9c-4c15-8a09-dce209be9715,train,6e01d81fbdb00848a553e0f8225265739cfcf05c377c213c1a75168af8a93338
000ad3b9-75cf-4b8f-9786-de63f9a8ffa8,train,cf2b51e99c17022cb5841efa6ebe9c0a19537d7279c984cbfc07c8efff5d11d8
0012e069-5caf-44fd-85e4-9a38f6eefd2e,train,6f226ce1d73c5ff451546a54c2fc5b46cec9daf63f0522c57a99ff3049fce3e6
002b097b-4237-4610-952c-6095d48fb7a0,train,7bf3ebd553947c01feb66c1e50805f06fde4f022d52c75e6d382efe8a8be327f
00345d58-6d89-4bf9-914f-bb797f0130a5,train,c2d4a5806aa86632093b1242c24368fc4b2c6409dfffe653991902e26ed1ac5e
003fb77f-53a7-44bd-ac96-25b2cbc47f43,train,f29a235f75e81a1dc054a8dc9d40a0b15b9eac6f8a8946626b04b3b5bc766885
005699bd-d0bf-4088-8b5f-6ce2bfe7f6a8,train,8fb7d641b6135a83166c0d308cb8d256a5d22e6b140781f1a9fd4b2243d02834
00619608-5415-4c7c-9deb-d87184ce9055,train,f7671cad8ce6289cca5339c27e0fa61fac33dd2dc8dfdeba8f70b55ce04fbe2b
0064bdc6-8e3a-4bc8-81e5-d755a4759d63,train,f0915a1f2e53cc3b5916081c6030ce8c7e2b82859b9864c381cd22c49c67014f
0071e389-0a9c-45b1-96a0-acec9d7d584b,train,3a88235450af455b6168c965fb5059276127f0e449e8e7d3b7b9de8886fd19a6
0074bfd6-ccc1-4610-87db-9bffe8a1c0b4,train,46cd61ba092dc68bd9d94fe3110eff5b51846c4d1c044e825d7c92de7570b2fb
00799efb-779a-4180-ae4f-bc40adcb5603,train,c21f2320bdea5618ae1bc9522ac06e72d38b9d25f44d9561d3a0727828a01c09
00811de2-8795-43b1-813d-3f5f458a926b,train,cfd00e1be283cbb6efd7cee45d3a2adebf344ab48af20fc27ca2e9c95fd2507a
0082fb0a-8030-4d6e-93ca-9f94d7b429bf,train,3d8ee166cc3a5955a5dd0e3b4a203418f02507c6547a0b577ef6c11964d39248
008468e2-e677-45fc-ac2f-4cf175ce334a,train,a026a9ce42e3bb7a16b723460d5cbdbe9839b4a1794b100b734e4c28fe3c7aa9
00882625-c1d0-4c07-aa26-0a97076360ee,train,27b5d74e8233587c9be93d50802c03358a9e5d9c8fef8cd315cd248580636692
008f348f-b403-4373-a917-74962ba8b1d1,train,62a492b8e6ebe46e71d849681c242279991c170b358fd126b38c953a5ca45a10
00979a9c-fe46-43c3-804c-391f33e0a203,train,712222b91d6e6cc62da7f43c17ad761aa6f7d25f54fa339ff865ee47382e14fa
009e4a71-e189-4c9b-be9f-b9b166bb83c6,train,e98b7a09202c48a71b13ff5d3d901546162404e2f6d15ca95a17f60a94354750
00b7548a-8c67-450c-80a1-1d91d7c2f939,train,60e21b7f79f1441a0ddb33ad798c214eb74145a4b613347aeef1b50c2dd03591
00bb0c85-b371-4ffd-a98b-012b488eac86,train,fff3df91aee9f2e8d7c32a83e8311567cdddbbc8ba5f1dd6d99a24eb8db60aec
00cad534-0fca-42fe-a24a-4eda8d0e0fc0,train,b146cf7249a1bd9071997aaa58966fcd8174dfb0acb0f56d930bf40b08734803
00d1ed0c-78fc-4104-a984-abfaba5c864f,train,0f565252a61be83b69f787a7747de22711f4e0227e54b720a33bf013653edff3
00d4f18c-90f1-4cec-aef5-5e79e9443e06,train,fcb1a8caa04e14ce145af9000f177f7195473374db5831845a2bf42d1a099bbf
00e23fdc-934a-4319-a6b1-3bd181294a56,train,c8c3e8d09432c07c1bd99f03935f89c0929f884b2d0380b028024d758b8e0dee
00ea7d37-dfc7-4fdc-9101-cab0f4cb3c3e,train,1c2a4fa12e0ba583d35111946f8b6f1e9b56b2f16f15ad699df18dd64205bf01
00ff0d81-5583-4aec-9e22-ccd929e79804,train,ed5a68b55ae5328867cacdb40621410bc73c385bfc9d06435174546ec7070658
0107b463-bbea-493d-a341-c19331e8b093,train,5be0ce71258ed0b65b53f886f195635ceca3e6a483ef51709398da0ddf9e5778
010e233c-c9d9-471c-a6ac-ebc1c5bd78a7,train,6f37ef09962dc5ce38233bd30e5b4a4cdb6a1d3aaeb27c48388971942972a9ca
0116c581-a65b-4165-9e04-5f26ad93c934,train,d66618c2984a71cc40e7d0e4f2b8da1c36f72bcc3ca99cd94fc542f4dbd65f0a
0119d416-3c24-4f1a-a39d-cbbe72a0ecc1,train,f61d8cf83ab3589571af280eda8597d54e3903d0c2bda95e30d3e841346c2a41
011e3c36-e960-4908-964e-6fc8be49381d,train,5dc6bd5c9f43fbd71fb33428ad25eaffccd88f2f7b768a5621ce7ac6f6ba4084
011e51e3-640a-439e-8254-3a1de0cdb925,train,24f8f1c183c5e89ac134debaa32e1d243c26c2dc0d882ca548a1c785c32ef498
012c8594-7ce3-4991-ae02-0e21a10ea83f,train,fb90c001e89d7f8372d46e769ea9e91e22899f93d8a8173d51779fc0f0347512
012e849b-a084-4427-8135-3883263c1a05,train,17fe6b7df4042a13c1326a212accaa211f0aed2ed5fedb9ccf3c81f2f869500f
012fd615-aab8-4e37-81bd-4c6af0f41d18,train,f46396b78c1833ea52d5edcd3e257416fece9aaf682e0a68998dacc93cfe5be0
01353ea3-fa65-4f7b-bb36-f5e595a8ae58,train,8219e66535c05334c28d5b141c67fbe723c78df34759603ea97e2c1b53b639df
013c5c50-529d-4be7-9872-7fea9ab88417,train,0120e5166846bfa8cc71fd3c7f22f6106fd3b4a3a53d3280e672aec6f0664244
014159e8-daee-4fc1-a6ae-a6608b696ed5,train,12e3e3287954ceb3cc318cfb4e381e8ed39ec5dc275fb7caa3b1f639e5ee9b05
